Feature,Importance
Categoría_EMPLEADO,0.0
Categoría_EMPLEADA,0.0
Categoría_EMPLADO,0.0
Categoría_Dependencia,0.0
Categoría_DOCENTE,0.0
Categoría_Retirado,0.0
Origen_base-extrerna,0.0
Categoría_Relación de dependencia,0.0
Categoría_Relacion en dependencia,0.0
Origen_base-novendidos-agsm,0.0
Categoría_Programador,0.0
Origen_Quiter,0.0
Categoría_PETROLEO,0.0
Categoría_Médico,0.0
Categoría_Municipañ,0.0
Categoría_Monotributista,0.0
Categoría_Monotribustista,0.0
Categoría_Medicina,0.0
Categoría_MANTENIMIENTO,0.0
Tipo de Proceso Comercial_nan,0.0
Categoría_comerciante de ropa  y verduras,0.0
Categoría_comerciante,0.0
Categoría_cliente final,0.0
Categoría_chofer,0.0
Categoría_cheff,0.0
Categoría_autonomo,0.0
Categoría_ama de casa,0.0
Categoría_administrativo,0.0
Categoría_administrativa,0.0
Categoría_VINOS,0.0
Categoría_UBILAO,0.0
Categoría_monotributista,0.0
Categoría_TRABAJO EN DEPENDENCIA,0.0
Categoría_TRABAJADOR DEPENDIENTE,0.0
Categoría_Supervisora de Logística,0.0
Categoría_Salud,0.0
Categoría_esudiante,0.0
Categoría_estudiante,0.0
Categoría_empleado/profesional,0.0
Categoría_empleado ypf,0.0
Categoría_empleado transporte,0.0
Categoría_empleado logistica,0.0
Categoría_empleado estatal,0.0
Categoría_empleado administrativo,0.0
Categoría_profesional,0.0
Origen_Mail recibido,0.0
Origen_MARIA AGUSTINA,0.0
Origen_Losandes,0.0
Origen_Landing_Page,0.0
Origen_Landing Page,0.0
Origen_Ig,0.0
Origen_Google,0.0
Origen_faltagestion-sep-denver,0.0
Rubro_Desarrolador de software,0.0
Rubro_DOCENTE,0.0
Rubro_Comercial,0.0
Rubro_Chófer colectivo,0.0
Rubro_Chofer de colectivo,0.0
Rubro_Chofer,0.0
Categoría_monotributista - C,0.0
Categoría_plomero,0.0
Categoría_empleada/ profesional,0.0
Categoría_empleada estatal,0.0
Categoría_empleada administrativa,0.0
Categoría_empleada,0.0
Categoría_empelado,0.0
Categoría_docente,0.0
Categoría_gastronomia,0.0
Origen_faltagestion-oct-agsm,0.0
Origen_faltagestion-junio-denver,0.0
Origen_faltagestion-jun-agsm,0.0
Origen_faltagestion-jul-agsm,0.0
Origen_faltagestion-agos-denver,0.0
Origen_base-subite,0.0
Origen_base-planes-caidos,0.0
Categoría_medico,0.0
